Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1724,,,"Jamaica, place unspecified",233,195,,,,,,
1724,,,"Jamaica, place unspecified",168,139,,,,,,
1724,,,"Jamaica, place unspecified",407,340,,,,,,
1724,,,"Jamaica, place unspecified",240,201,,,,,,
1724,,,"Jamaica, place unspecified",260,217,,,,,,
1725,,,"Jamaica, place unspecified",292,244,,,,,,
1725,,,"Jamaica, place unspecified",242,202,,,,,,
1725,,,"Jamaica, place unspecified",281,235,,,,,,
1725,,,"Jamaica, place unspecified",217,181,,,,,,
1725,,,"Jamaica, place unspecified",272,228,,,,,,
1725,,,"Jamaica, place unspecified",144,120,,,,,,
1726,,,"Jamaica, place unspecified",236,200,,,,,,
1726,,,"Jamaica, place unspecified",284,240,,,,,,
1726,,,"Jamaica, place unspecified",261,221,,,,,,
1726,,,"Jamaica, place unspecified",246,208,,,,,,
1727,,,"Jamaica, place unspecified",228,193,,,,,,
1727,,,"Jamaica, place unspecified",235,199,,,,,,
1730,,,"Jamaica, place unspecified",145,123,,,,,,
1730,,,"Jamaica, place unspecified",224,190,,,,,,
1730,,,"Jamaica, place unspecified",363,307,,,,,,
1730,,,"Jamaica, place unspecified",236,200,,,,,,
1730,,,"Jamaica, place unspecified",201,170,,,,,,
1730,,,"Jamaica, place unspecified",145,123,,,,,,
1731,,,"Jamaica, place unspecified",54,46,,,,,,
1731,,,"Jamaica, place unspecified",139,118,,,,,,
1733,,,"Jamaica, place unspecified",52,44,,,,,,
1733,,,"Jamaica, place unspecified",240,203,,,,,,
1734,,,"Jamaica, place unspecified",189,160,,,,,,
1743,,,"Jamaica, place unspecified",27,23,,,,,,
1738,,,"Jamaica, place unspecified",135,114,,,,,,
1715,Dartmouth,Gambia,Charleston,169,150,,,,,,
1716,Dartmouth,Gambia,"Barbados, place unspecified",10,9,,,,,,
1716,Whitehaven,"Gold Coast, port unspecified",???,159,140,,,,,,
1719,Whitehaven,"Africa, port unspecified",Saint John (Antigua),132,106,,,,,,249
1722,Whitehaven,"Africa, port unspecified","Barbados, place unspecified",62,50,,,,,,
1717,Glasgow,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, place unspecified",190,190,,,,0,,
1716,Dublin,Gambia,,169,,,,,,,
1682,,"Whydah, Ouidah","Barbados, place unspecified",404,307,,,,,,
1683,,Little Popo,,404,307,,,,,,
1698,,"Whydah, Ouidah",,452,344,,,,,,
1698,,"Whydah, Ouidah",,220,167,,,,,,
1698,,"Whydah, Ouidah",,350,267,,,,,,
1682,La Rochelle,"Whydah, Ouidah","Martinique, place unspecified",316,241,,,,,,
1682,La Rochelle,"Whydah, Ouidah","Martinique, place unspecified",316,241,,,,,,
1682,La Rochelle,"Whydah, Ouidah",Cayenne,316,241,,,,,,
1697,London,Bonny,,350,,,,,,,
1660,,"Africa, port unspecified","Barbados, place unspecified",330,264,,,,,,
1641,London,"Gold Coast, port unspecified","Barbados, place unspecified",299,239,,,,,,
1647,London,Calabar,"Barbados, place unspecified",100,86,,,,,,
1655,,"Africa, port unspecified","Barbados, place unspecified",320,244,,,,,,
1648,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Hispaniola, unspecified",350,300,,,,50,,
1695,London,"Africa, port unspecified",Annapolis,244,209,,,,,,382
1699,London,"Africa, port unspecified",Patuxent,243,195,,,,,,283
1699,"Maryland, port unspecified","Africa, port unspecified",Annapolis,149,126,,,,,,224
1729,London,"Africa, port unspecified",Annapolis,250,200,,,,,,90
1756,New London,Sherbro,Annapolis,109,90,,,,,,
1692,,"Africa, port unspecified","Maryland, port unspecified",133,121,,,,,,
1721,Bristol,Madagascar,York River,192,133,,,,,,
1762,Greenock,Gambia,"Virginia, port unspecified",138,118,,,,,,250
1686,Pillau,"Africa, port unspecified",St. Thomas,250,200,,,,,,
1687,Emden,"Africa, port unspecified",St. Thomas,400,320,,,,,,
1687,St. Thomas,"Africa, port unspecified",St. Thomas,100,80,,,,,,
1688,Emden,"Africa, port unspecified",St. Eustatius,375,300,,,,,,
1688,Emden,"Africa, port unspecified",Curaçao,243,195,,,,,,
1690,,"Africa, port unspecified",St. Thomas,596,477,,,,,,
1691,,"Africa, port unspecified",St. Eustatius,261,209,,,,,,
1691,,Arguim,"Danish West Indies, colony unspecified",339,299,,,,,,
1691,,"Africa, port unspecified",St. Thomas,373,299,,,,,,
1692,,"Africa, port unspecified",St. Eustatius,568,455,,,,,,
1692,,"Africa, port unspecified",St. Thomas,373,299,,,,,,
1692,,"Africa, port unspecified",St. Thomas,624,500,,,,,,
1692,Emden,"Africa, port unspecified",St. Thomas,687,550,,,,,,
1692,,"Africa, port unspecified",St. Thomas,624,500,,,,,,
1693,,"Africa, port unspecified",St. Thomas,687,550,,,,,,
1693,,"Africa, port unspecified",Caribbean (colony unspecified),208,167,,,,,,
1693,,"Africa, port unspecified",Caribbean (colony unspecified),386,309,,,,,,
1693,,"Africa, port unspecified",Caribbean (colony unspecified),562,450,,,,,,
1693,Vlissingen,"West Central Africa and St. Helena, port unspecified",St. Thomas,391,335,,,,,,
1693,,"Africa, port unspecified",Caribbean (colony unspecified),734,588,,,,,,
1693,,"Africa, port unspecified",St. Thomas,747,598,,,,,,
1693,Middelburg,"West Central Africa and St. Helena, port unspecified",St. Thomas,233,200,,,,,,
1693,,"Africa, port unspecified",St. Thomas,250,200,,,,,,
1694,,"Africa, port unspecified",St. Thomas,562,450,,,,,,
1694,,"Africa, port unspecified",St. Thomas,152,122,,,,,,
1694,,"Africa, port unspecified",St. Thomas,225,180,,,,,,
1695,,"Africa, port unspecified",St. Eustatius,648,520,,,,,,
1696,,"Africa, port unspecified",St. Thomas,613,491,,,,,,
1699,,"Africa, port unspecified",St. Thomas,773,619,,,,,,
1699,,"Africa, port unspecified",St. Thomas,576,461,,,,,,
1699,,"Africa, port unspecified",St. Thomas,414,350,,,,,,
1701,,"Africa, port unspecified",St. Thomas,526,421,,,,,,
1702,Zeeland,"Africa, port unspecified",St. Thomas,251,212,,,,,,
1702,Zeeland,"Africa, port unspecified",St. Thomas,200,169,,,,,,
1703,,"Africa, port unspecified",St. Thomas,258,207,,,,,,
1715,Rotterdam,Pokesoe (Princes Town),St. Thomas,247,212,,,,,,
1699,Emden,"Whydah, Ouidah",St. Thomas,494,400,,,,,,
1683,Hamburg,"Bight of Benin, place unspecified",Berbice,334,254,,,,,,
1688,,"Whydah, Ouidah",St. Thomas,105,80,,,,,,
1644,Rotterdam,"Africa, port unspecified","Barbados, place unspecified",284,245,,,,,,
1645,"Barbados, place unspecified",River del Rey,"Barbados, place unspecified",100,80,,,,20,,
1647,"Barbados, place unspecified",River del Rey,"Barbados, place unspecified",392,320,,,,,,
1646,"Barbados, place unspecified",River del Rey,"Barbados, place unspecified",251,174,,,,,,
1645,"Barbados, place unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified",,251,174,,,,,,
1645,,River del Rey,,244,209,,,,,,
1645,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",,72,,,,,,,
1645,Plymouth,Calabar,Caribbean (colony unspecified),211,188,,,,,,
1645,,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",,211,188,,,,,,
1645,"St. Kitts, port unspecified",Calabar,,244,,,,,,,
1645,London,Calabar,"Barbados, place unspecified",211,188,,,,,,
1645,London,Calabar,,392,320,,,,,,
1646,"England, place unspecified",Calabar,,211,188,,,,,,
1646,"Barbados, place unspecified",Calabar,,251,174,,,,,,
1646,London,Calabar,"Barbados, place unspecified",251,174,,,,,,
1646,London,Calabar,"Barbados, place unspecified",244,209,,,,,,
1646,London,Calabar,"Barbados, place unspecified",251,174,,,,,,
1647,,Calabar,"Barbados, place unspecified",211,188,,,,,,
1646,London,Calabar,"Barbados, place unspecified",211,188,,,,,,
1646,London,"Africa, port unspecified",,244,209,,,,,,
1644,London,"Africa, port unspecified","Americas, port unspecified",244,209,,,,,,
1646,,Kormantine,,211,188,,,,,,
1646,Göteborg,Calabar,"Barbados, place unspecified",260,212,,,,,,
1646,"Barbados, place unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, place unspecified",251,174,,,,,,
1646,London,Calabar,Caribbean (colony unspecified),244,209,,,,,,
1646,London,Calabar,Caribbean (colony unspecified),211,188,,,,,,
1647,London,Calabar,"Barbados, place unspecified",251,174,,,,,,
1647,London,Calabar,"Barbados, place unspecified",244,209,,,,,,
1647,"England, place unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified",,251,174,,,,,,
1644,,"Africa, port unspecified","Americas, port unspecified",330,264,,,,,,
1656,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Cartagena,54,47,,,,,,
1656,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Cartagena,163,140,,,,,,
1656,,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, place unspecified",251,174,,,,,,
1702,,"Africa, port unspecified","Martinique, place unspecified",185,141,,,,,,
1702,London,Calabar,"Martinique, place unspecified",197,150,,,,,,
1702,London,Calabar,"Martinique, place unspecified",393,300,,,,,,
1647,,Calabar,"Barbados, place unspecified",251,174,,,,,,
1716,Madeira,,Rio de Janeiro province,272,228,,,,,,
1723,Lisbon,"West Central Africa and St. Helena, port unspecified",Ilha Grande,121,118,,,,,,
1718,,Cape Coast Castle,"Bahia, place unspecified",492,412,,,,,,
1792,,"Africa, port unspecified","Suriname, place unspecified",43,37,,,,,,
1700,,Loango,,381,331,,,,,,
1700,,Loango,,381,331,,,,,,
1750,Guernsey,Gambia,,320,284,,,,,,
1756,Guernsey,Gambia,,230,197,,,,,,
1756,Guernsey,Gambia,,230,197,,,,,,
1757,Lancaster,Gambia,Charleston,82,70,,,,,,
1757,Lancaster,Gambia,Kingston,90,86,,,,4,29,285
1757,Guernsey,Gambia,St. Croix,75,68,,,,,,
1757,Lancaster,Gambia,Kingston,140,128,,,,12,31,294
1759,Poole,Gambia,Charleston,230,200,,,,30,47,206
1759,Poole,Gambia,Charleston,72,56,,,,,,234
1759,Lancaster,Gambia,Charleston,200,190,,,,10,57,182
1777,Lancaster,Anomabu,"Grenada, place unspecified",200,184,,,,,,
1755,Poole,Gambia,Charleston,135,112,,,,,,176
1754,Lancaster,Gambia,"St. Kitts, port unspecified",156,138,,,,,,
1754,Lancaster,Gambia,"Barbados, place unspecified",98,77,,,,21,49,213
1755,Lancaster,Gambia,"Barbados, place unspecified",75,66,,,,9,,252
1755,Chester,"West Central Africa and St. Helena, port unspecified",Kingston,299,260,,,,,,394
1753,London,Gambia,Charleston,180,160,,,,,,
1754,Poole,Gambia,Charleston,110,98,,,,,55,
1752,,"Gold Coast, port unspecified",Charleston,117,100,,,,,,
1756,Poole,Gambia,Charleston,230,197,,,,,,
1755,,Gambia,Charleston,135,120,,,,,,
1759,Lancaster,"Windward Coast, place unspecified",Charleston,248,212,,,,,,190
1760,Lancaster,Sierra Leone estuary,Charleston,266,228,,,,,,282
1760,Lancaster,Gambia,Charleston,229,196,,,,,,221
1761,Lancaster,Gambia,Charleston,225,200,,,,,,
1761,,,,,,,,,,,
1763,Lancaster,Gambia,Charleston,225,200,,,,,,182
1764,Lancaster,Gambia,Charleston,225,200,,,,,,226
1765,Lancaster,Sierra Leone estuary,Charleston,222,200,,,,,,
1765,Whitehaven,"Africa, port unspecified",Kingston,221,180,,,,,,337
1765,,"Windward Coast, place unspecified",Charleston,282,250,,,,,,
1767,Whitehaven,Gambia,Saint John (Antigua),63,54,,,,,135,374
1766,,Sierra Leone estuary,Savannah,116,90,,,,,,
1767,Liverpool,Bassa,Savannah,65,51,,,,,,
1728,London,"Windward Coast, place unspecified",,196,174,,,,,,
1754,London,"Africa, port unspecified","Montserrat, port unspecified",250,208,,,,,,
1755,,Gambia,"Barbados, place unspecified",124,110,,,,,,
1755,,Benin,"Barbados, place unspecified",211,180,,,,,,
1756,,Bonny,"Barbados, place unspecified",250,210,,,,40,,
1756,,Bonny,"Barbados, place unspecified",140,110,,,,30,,
1711,London,"Africa, port unspecified",,237,190,,,,,,
1710,,"Africa, port unspecified","Americas, port unspecified",237,190,,,,,,
1709,London,"Africa, port unspecified","Americas, port unspecified",237,190,,,,,,
1710,London,Gambia,,104,93,,,,,,
1710,London,"Africa, port unspecified",,237,190,,,,,,
1711,London,"Africa, port unspecified","Jamaica, place unspecified",476,398,,,,,,221
1710,Plymouth,"Africa, port unspecified",,237,190,,,,,,
1711,London,"Africa, port unspecified",,237,190,,,,,,
1711,Liverpool,"Africa, port unspecified",,237,190,,,,,,
1711,Plymouth,Gambia,,169,150,,,,,,
1711,London,"Africa, port unspecified",,237,190,,,,,,
1711,London,"Africa, port unspecified",,237,190,,,,,,
1712,London,"Africa, port unspecified",,237,190,,,,,,
1712,London,"Africa, port unspecified",,237,190,,,,,,
1712,London,"Africa, port unspecified",,237,190,,,,,,
1712,London,"Africa, port unspecified",,237,190,,,,,,
1708,"Antigua, place unspecified","Africa, port unspecified",,237,190,,,,,,
1708,Bristol,"Africa, port unspecified",,237,190,,,,,,
1706,"Barbados, place unspecified","Africa, port unspecified",,237,190,,,,,,
1707,"Barbados, place unspecified","Africa, port unspecified",,148,131,,,,,,
1709,London,"Africa, port unspecified",,237,190,,,,,,
1709,London,"Africa, port unspecified",,237,190,,,,,,
1710,Liverpool,Calabar,,276,209,,,,,,
1711,London,Windward + Ivory + Gold + Benin,,272,,,,,,,
1704,Bristol,"Africa, port unspecified",,148,131,,,,,,
1704,London,"Africa, port unspecified",,,,,,,,,
1703,"Jamaica, place unspecified","Africa, port unspecified",,148,131,,,,,,
1704,"Jamaica, place unspecified","Africa, port unspecified",,148,131,,,,,,
1704,Plymouth,"Africa, port unspecified",,237,190,,,,,,
1705,London,"Africa, port unspecified",,237,190,,,,,,
1706,London,"Africa, port unspecified","Martinique, place unspecified",237,190,,,,,,
1705,Bristol,"Africa, port unspecified",,237,190,,,,,,
1705,London,"Africa, port unspecified",,237,190,,,,,,
1705,London,"Africa, port unspecified",,237,190,,,,,,
1706,London,"Africa, port unspecified","Maryland, port unspecified",237,190,,,,,,
1706,London,"Africa, port unspecified",,237,190,,,,,,
1706,London,"Africa, port unspecified","Americas, port unspecified",237,190,,,,,,
1706,"Jamaica, place unspecified","Africa, port unspecified",,237,190,,,,,,
1706,,"Africa, port unspecified","Virginia, port unspecified",237,190,,,,,,
1708,London,"Africa, port unspecified",,237,190,,,,,,
1706,Bristol,,,,,,,,,,
1703,London,"Africa, port unspecified","Jamaica, place unspecified",185,155,,,,,,273
1702,London,"Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified","Jamaica, place unspecified",237,190,,,,,,
1703,London,"Africa, port unspecified",,237,190,,,,,,
1700,"Jamaica, place unspecified","Africa, port unspecified",,243,195,,,,,,
1702,"Jamaica, place unspecified","Africa, port unspecified",,237,190,,,,,,
1701,"Jamaica, place unspecified","Africa, port unspecified",,237,190,,,,,,
1701,"Jamaica, place unspecified","Africa, port unspecified",,237,190,,,,,,
1701,"Jamaica, place unspecified","Africa, port unspecified",,237,190,,,,,,
1702,,"Africa, port unspecified","Montserrat, port unspecified",237,190,,,,,,
1703,London,"Africa, port unspecified",,237,190,,,,,,
1703,London,"Africa, port unspecified",,237,190,,,,,,
1702,"Barbados, place unspecified","Africa, port unspecified",,237,190,,,,,,
1703,London,"Africa, port unspecified",,148,131,,,,,,
1702,"Barbados, place unspecified","Africa, port unspecified",,121,108,,,,,,
1702,"Barbados, place unspecified","Africa, port unspecified",,237,190,,,,,,
1704,London,"Africa, port unspecified",,237,190,,,,,,
1704,"Barbados, place unspecified","Africa, port unspecified","Barbados, place unspecified",187,150,,,,,94,305
1704,"Barbados, place unspecified","Africa, port unspecified","Barbados, place unspecified",175,140,,,,,,267
1704,Portsmouth,"Africa, port unspecified",,237,190,,,,,,
1704,London,"Africa, port unspecified",,237,190,,,,,,
1704,London,"Africa, port unspecified",Caracas,517,404,,,,,,188
1701,"Barbados, place unspecified","Africa, port unspecified",,237,190,,,,,,
1701,London,"Africa, port unspecified",,237,190,,,,,,
1700,"Nevis, port unspecified","Africa, port unspecified",,148,131,,,,,,
1701,"Nevis, port unspecified","Africa, port unspecified",,121,108,,,,,,
1701,"Barbados, place unspecified","Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1701,,"Africa, port unspecified","Americas, port unspecified",237,190,,,,,,
1701,"Barbados, place unspecified","Africa, port unspecified",,121,108,,,,,,
1700,London,"Africa, port unspecified",Saint John (Antigua),243,195,,,,,,
1701,,"Africa, port unspecified",Saint John (Antigua),237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1701,"Barbados, place unspecified","Africa, port unspecified",,237,190,,,,,,
1701,London,"Africa, port unspecified",,237,190,,,,,,
1701,London,"Africa, port unspecified",,237,190,,,,,,
1702,London,"Africa, port unspecified",,237,190,,,,,,
1701,London,"Africa, port unspecified",,237,190,,,,,,
1701,"Barbados, place unspecified","Africa, port unspecified",,148,131,,,,,,
1702,London,"Africa, port unspecified","Nevis, port unspecified",272,228,,,,,,
1700,,"Africa, port unspecified","Jamaica, place unspecified",243,195,,,,,,
1701,,"Africa, port unspecified","Barbados, place unspecified",237,190,,,,,,
1700,"Barbados, place unspecified","Africa, port unspecified",,243,195,,,,,,
1701,London,"Africa, port unspecified","Jamaica, place unspecified",169,135,,,,,,241
1700,"Barbados, place unspecified","Africa, port unspecified",,243,195,,,,,,
1701,London,"Africa, port unspecified",,237,190,,,,,,
1700,Liverpool,"Africa, port unspecified",,243,195,,,,,,
1700,Liverpool,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified","Jamaica, place unspecified",243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,"Barbados, place unspecified","Africa, port unspecified",,148,131,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,"Barbados, place unspecified","Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1699,Liverpool,"Africa, port unspecified",,243,195,,,,,,
1699,"Barbados, place unspecified","Africa, port unspecified",,246,197,,,,,,
1699,"Barbados, place unspecified","Africa, port unspecified",,243,195,,,,,,
1699,"Barbados, place unspecified","Africa, port unspecified",,121,108,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1699,London,"Africa, port unspecified",,243,195,,,,,,
1699,London,"Africa, port unspecified",,243,195,,,,,,
1700,London,"Africa, port unspecified","Barbados, place unspecified",243,195,,,,,,
1699,London,"Africa, port unspecified",,243,195,,,,,,
1699,London,"Africa, port unspecified",,243,195,,,,,,
1698,London,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","British Caribbean, colony unspecified",260,207,,,,,,
1698,,"Africa, port unspecified","Barbados, place unspecified",286,229,,,,,,
1733,Liverpool,"Africa, port unspecified","Virginia, port unspecified",271,217,,,,,,
1699,London,"Africa, port unspecified",Cartagena,256,200,,,,,,
1679,"Barbados, place unspecified",Madagascar,"Barbados, place unspecified",337,233,,,,,,
1700,London,"Africa, port unspecified",,243,195,,,,,,
1687,,Madagascar,"Jamaica, place unspecified",29,22,,,,,,
1687,New York,Madagascar,"Jamaica, place unspecified",185,128,,,,,,
1754,Plymouth,Anomabu,,250,208,,,,,,
1754,,"Gold Coast, port unspecified",,250,209,,,,,,
1754,"England, place unspecified",Congo North,,250,209,,,,,,
1729,,"Africa, port unspecified","Virginia, port unspecified",146,120,,,,,,
1759,,Sierra Leone estuary,Saint John (Antigua),400,360,,,,,,
1717,London,"Gold Coast, port unspecified",,90,,,,,,,
1770,London,Gambia,"St. Vincent, port unspecified",169,150,,,,,,601
1704,"Jamaica, place unspecified","Africa, port unspecified",,237,190,,,,,,
1704,"Jamaica, place unspecified","Africa, port unspecified",,293,235,,,,,,
1705,,"Africa, port unspecified","Jamaica, place unspecified",167,138,,,,,,
1740,Bristol,Calabar,,275,209,,,,,,
1750,Liverpool,Bonny,,250,208,,,,,,
1750,Liverpool,"Windward Coast, place unspecified",,271,217,,,,,,
1749,Liverpool,"West Central Africa and St. Helena, port unspecified",,271,217,,,,,,
1711,,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",610,557,,,,,,
1719,"Barbados, place unspecified","Africa, port unspecified",,121,108,,,,,,
1730,"Barbados, place unspecified","Africa, port unspecified",,121,108,,,,,,
1722,,"Africa, port unspecified",Newcastle (Nevis),30,24,,,,,,
1736,London,"Africa, port unspecified","St. Kitts, port unspecified",240,197,,,,,,
1741,,"Africa, port unspecified",Saint John (Antigua),271,217,,,,,,
1742,,"Africa, port unspecified","Maryland, port unspecified",271,217,,,,,,
1757,Lancaster,"Africa, port unspecified",Saint John (Antigua),160,133,,,,,,
1743,London,"Africa, port unspecified",Saint John (Antigua),271,217,,,,,,
1717,,"Africa, port unspecified","Jamaica, place unspecified",252,211,,,,,,
1717,London,"Africa, port unspecified",,225,190,,,,,,
1719,London,,,,,,,,,,
1717,London,"Africa, port unspecified",,237,190,,,,,,
1718,London,"Africa, port unspecified",,237,190,,,,,,
1718,London,"Africa, port unspecified","Barbados, place unspecified",237,190,,,,,,
1719,London,"Africa, port unspecified",,225,190,,,,,,
1719,London,"Africa, port unspecified",,225,190,,,,,,
1719,London,"Africa, port unspecified",,225,190,,,,,,
1719,London,,,,,,,,,,
1719,London,"Africa, port unspecified",,159,131,,,,,,
1719,London,"Africa, port unspecified",,225,190,,,,,,
1719,London,"Africa, port unspecified",,225,190,,,,,,
1719,London,"Africa, port unspecified",,225,190,,,,,,
1698,,"Africa, port unspecified","Maryland, port unspecified",40,32,,,,,,
1698,Texel,"Africa, port unspecified",Caribbean (colony unspecified),174,160,,,,,,
1719,,"Costa da Mina, place unspecified",,118,,,,,,,
1760,Lancaster,Sierra Leone estuary,"Jamaica, place unspecified",400,360,,,,,,
1760,,"Africa, port unspecified",,250,209,,,,,,
1760,Liverpool,Gorée,,169,150,,,,,,
1760,St. Croix,"Africa, port unspecified",St. Croix,200,166,,,,,,
1760,Lancaster,"Africa, port unspecified","Martinique, place unspecified",250,209,,,,,,
1760,,"Africa, port unspecified","Barbados, place unspecified",250,208,,,,,,
1759,St. Croix,"Africa, port unspecified",,250,209,,,,,,
1760,Whitehaven,"Windward Coast, place unspecified",Basse-Terre,196,174,,,,,,
1760,,"Africa, port unspecified",St. Croix,250,208,,,,,,
1760,Liverpool,Bonny,,276,209,,,,,,
1760,,"Africa, port unspecified",Basse-Terre,250,208,,,,,,
1760,,"Africa, port unspecified","Barbados, place unspecified",250,208,,,,,,
1760,Charleston,"Africa, port unspecified","St. Kitts, port unspecified",230,197,,,,,,
1760,,"Africa, port unspecified",Saint John (Antigua),250,208,,,,,,
1760,Lancaster,"Africa, port unspecified","Jamaica, place unspecified",250,208,,,,,,
1760,Whitehaven,"Africa, port unspecified","Jamaica, place unspecified",171,151,,,,,,
1760,Whitehaven,"Africa, port unspecified","Jamaica, place unspecified",250,208,,,,,,
1760,,Saint-Louis,"Jamaica, place unspecified",169,150,,,,,,
1762,Lancaster,"Africa, port unspecified",Basse-Terre,264,220,,,,,,
1762,"Antigua, place unspecified","Africa, port unspecified",Saint John (Antigua),250,209,,,,,,
1761,Lancaster,Gambia,,169,,,,,,,
1761,London,"Africa, port unspecified",Basse-Terre,250,208,,,,,,
1761,Lancaster,"Africa, port unspecified",Basse-Terre,672,560,,,,,,224
1761,Poole,Gambia,Charleston,169,150,,,,,,
1761,,"Africa, port unspecified","Jamaica, place unspecified",250,208,,,,,,
1762,Lancaster,"Africa, port unspecified",British Leewards,250,208,,,,,,
1761,Guernsey,Saint-Louis,"Martinique, place unspecified",169,150,,,,,,
1762,,Saint-Louis,"Barbados, place unspecified",36,32,,,,,,
1761,Whitehaven,,,,,,,,,,
1762,Whitehaven,"Africa, port unspecified",Kingston,257,220,,,,,,276
1762,New London,Saint-Louis,Basse-Terre,169,150,,,,,,
1762,Cowes,"Africa, port unspecified","Barbados, place unspecified",62,52,,,,,,
1762,Portsmouth,Saint-Louis,"Martinique, place unspecified",169,150,,,,,,
1761,Lancaster,Sierra Leone estuary,Basse-Terre,226,204,,,,,,358
1762,Kendal,Iles de Los,,226,204,,,,,,
1762,Lancaster,"Africa, port unspecified","Martinique, place unspecified",250,208,,,,,,
1762,,"Africa, port unspecified","Jamaica, place unspecified",250,208,,,,,,
1762,New York,"Africa, port unspecified",Kingston,87,72,,,,,,276
1762,,Saint-Louis,Basse-Terre,194,158,,,,,,140
1762,Lancaster,"Africa, port unspecified","Martinique, place unspecified",288,240,,,,,,
1762,Liverpool,,,,,,,,,,
1762,London,"Africa, port unspecified",Saint John (Antigua),250,208,,,,,,
1762,Whitehaven,"Africa, port unspecified","Martinique, place unspecified",250,208,,,,,,
1762,Lisbon,Mozambique,,386,267,,,,,,
1762,London,Saint-Louis,,169,,,,,,,
1761,Lancaster,"Africa, port unspecified","Martinique, place unspecified",250,208,,,,,,
1762,Glasgow,Anomabu,"Martinique, place unspecified",230,197,,,,,,
1763,,"Africa, port unspecified","Barbados, place unspecified",185,158,,,,,,
1765,,"Windward Coast, place unspecified","Barbados, place unspecified",196,174,,,,,,
1763,,"Africa, port unspecified","St. Kitts, port unspecified",250,208,,,,,,
1764,London,Saint-Louis,"Grenada, place unspecified",169,150,,,,,,
1763,Liverpool,,,,,,,,,,
1763,Liverpool,,,,,,,,,,
1763,,"Africa, port unspecified",,250,209,,,,,,
1763,,"Africa, port unspecified",Charleston,148,131,,,,,,
1763,British Leewards,,,,,,,,,,
1763,,Saint-Louis,Charleston,169,150,,,,,,
1764,,"Africa, port unspecified","Barbados, place unspecified",96,80,,,,,,
1763,,"Africa, port unspecified","Barbados, place unspecified",60,50,,,,,,
1763,Saint-Malo,,,,,,,,,,
1763,London,Gorée,"Jamaica, place unspecified",169,150,,,,,,
1764,Lancaster,"Africa, port unspecified",Kingston,133,118,,,,,,321
1764,Lancaster,Sierra Leone estuary,"Grenada, place unspecified",244,220,,,,,,
1765,Whitehaven,Bonny,Kingston,331,270,,,,,,226
1764,Whitehaven,Bonny,"Barbados, place unspecified",383,340,,,,,,
1764,,"Africa, port unspecified","Jamaica, place unspecified",250,208,,,,,,
1763,Whitehaven,"Africa, port unspecified",Kingston,216,185,,,,,,
1764,Kingston,Gambia,"Barbados, place unspecified",169,150,,,,,,
1764,Greenock,"Africa, port unspecified",Kingston,319,260,,,,,,299
1764,Lancaster,"Africa, port unspecified",Savanna la Mar,154,120,,,,,,269
1763,Lancaster,,,,,,,,,,
1764,Charleston,Bance/Bunce Island,,149,126,,,,,,
1764,Stockton,Saint-Louis,Patuxent,169,150,,,,,,599
1764,Lancaster,"Africa, port unspecified",Charleston,250,208,,,,,,
