Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1775,"Bahia, place unspecified",Benguela,"Bahia, place unspecified",282,271,,,0,,42,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,405,379,,,0,,,
1775,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",351,336,,,0,,42,
1775,"Bahia, place unspecified",Benguela,"Bahia, place unspecified",433,415,,,0,,40,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,276,244,,,0,,,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,276,258,,,0,,,
1775,"Bahia, place unspecified",Benguela,"Bahia, place unspecified",357,348,,,0,,42,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,382,357,,,0,,,
1775,"Pernambuco, place unspecified",Luanda,"Pernambuco, place unspecified",301,266,,,0,,,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,446,417,,,0,,,
1842,Lisbon,Coanza River,St. Helena,150,147,"0,77333","0,22667",0,3,24,
1847,"Bahia, place unspecified",Gallinhas,Freetown,22,20,1,0,0,,21,52
1781,Lisbon,Bissau,Pará,72,66,"0,54545","0,45455",0,,,148
1716,Le Havre,Gorée,Cap Français,302,260,"0,57273","0,42727",0,42,,131
1722,Le Havre,"Senegambia and offshore Atlantic, port unspecified",Léogane,290,268,"0,63793","0,36207",0,22,53,166
1789,Le Havre,"West Central Africa and St. Helena, port unspecified",Port-au-Prince,411,374,"0,66845","0,33155",0,,42,358
1722,Lorient,Gorée,"Martinique, place unspecified",350,344,"0,57143","0,42857",0,6,26,136
1723,Lorient,Gorée,"Martinique, place unspecified",234,231,"0,53304","0,46696",0,3,27,170
1723,Lorient,Gambia,La Balise,105,90,"0,6","0,4",0,15,51,162
1724,Lorient,"Whydah, Ouidah","Martinique, place unspecified",403,349,"0,64897","0,35103",0,54,74,236
1724,Lorient,"Whydah, Ouidah",Cap Français,625,575,"0,78159","0,21841",0,50,101,301
1726,Lorient,Saint-Louis,Cayes (Les),120,110,"0,96364","0,03636",0,10,,
1730,Lorient,Gorée,La Balise,361,327,"0,79714","0,20286",0,34,36,467
1756,Bristol,Gambia,Charleston,180,154,1,0,0,,,131
1791,Bristol,Anomabu,"Jamaica, place unspecified",79,79,"0,57143","0,42857",0,0,,251
1792,Bristol,Bonny,Kingston,328,279,"0,59756","0,40244",0,49,57,288
1793,Bristol,Iles de Los,Kingston,239,220,"0,67364","0,32636",0,19,32,219
1792,Bristol,Sierra Leone estuary,Kingston,232,260,"0,625","0,375",0,,51,225
1793,Bristol,New Calabar,Montego Bay,243,208,"0,5234","0,4766",0,35,83,251
1793,Bristol,Bonny,"St. Vincent, port unspecified",596,558,"0,60274","0,39726",0,38,48,249
